6	5
6	5
6	10
6	10
6	20
6	20
6	25
6	25
6	30
6	30
6	30
6	35
6	35
6	35
6	40
6	40
6	45
6	45
6	45
6	50
6	50
6	55
6	55
7	0
7	0
7	0
7	5
7	5
7	5
7	5
7	10
7	10
7	10
7	10
7	15
7	15
7	15
7	15
7	20
7	20
7	20
7	25
7	25
7	25
7	30
7	30
7	30
7	30
7	35
7	40
7	40
7	40
7	45
7	45
7	45
7	50
7	55
8	0
8	0
8	0
8	0
8	5
8	5
8	10
8	10
8	15
8	15
8	20
8	20
8	20
8	25
8	25
8	25
8	30
8	30
8	35
8	40
8	45
8	45
8	50
8	50
8	55
8	55
9	0
9	0
9	0
9	5
9	5
9	10
9	10
9	15
9	15
9	20
9	20
9	30
9	30
9	45
9	50
